ticker,name,isin,cnpj,segment,type,price,nav,dy,dy_months,dy_avg_month_6m,pvp,liquidity,pl,vacancy,properties,shareholders,shares,admin_fee,growth_12m,growth_pl_12m,growth_shareholders_12m,change_30d,high_252d,low_252d,report_date,price_date,price_stale_days,dividend_source,score,classification,flags,score_valuation,score_income,score_liquidity,score_size,score_operational,score_growth
SEED11,HEDGE SEED FUNDO DE INVESTIMENTO IMOBILIÁRIO,BRSEEDCTF008,35689497000181,Multicategoria,Híbrido,100.0,88.9204062926829,12.4082,12,1.2124833333333334,1.124601249243604,218283.33333333334,145829466.32,,,131.0,1640000.0,0.000183,-0.1780416353398928,-0.3560832706797856,0.0,7.526881720430101,100.0,93.0,2026-07-01,2025-06-26,448,CVM Informe Mensal — Percentual_Dividend_Yield_Mes,43.5,Oportunidade,preco_defasado,55.1,82.3,2.2,0.0,55.0,32.7
SNLG11,SUNO LOG FUNDO DE INVESTIMENTO IMOBILIARIO,BRSNLGCTF007,40041711000129,Logística,Tijolo,1.24,2.04632123909966,0.0,12,0.0,0.6059654644182724,64528.313333333324,5177123.16,,,9267.0,2529966.0,0.004829,223.4517362426555,469.54954927996874,-22.646076794657766,-19.480519480519487,29.71,0.15,2026-07-01,2026-02-03,226,CVM Informe Mensal — Percentual_Dividend_Yield_Mes,43.2,Oportunidade,preco_defasado,100.0,0.0,0.0,0.0,55.0,100.0
ARTE11,ARTEMIS FII,BRARTECTF004,53193237000100,Residencial,Tijolo,6.99,10.135927,0.0,12,0.0,0.6896261190515678,75694.77266666667,96287692.68,,,1111.0,9499643.0,0.000974,36.14684699138054,9.628979487885548,62.66471449487554,-5.027173913043481,10.34,6.2,2026-07-01,2026-09-17,0,CVM Informe Mensal — Percentual_Dividend_Yield_Mes,43.2,Oportunidade,,100.0,0.0,0.0,0.0,55.0,100.0
EURO11,F.I.I EUROPAR RESPONSABILIDADE LIMITADA,BREUROCTF011,05437916000127,Logística,Tijolo,295.0,395.715887777732,6.4987,12,0.5741,0.7454843465008848,61393.885333333346,162197215.23,,,1888.0,409883.0,0.000395,9.840536170087343,28.119481651522893,-8.438409311348206,-2.314646180337099,370.0,236.0,2026-08-01,2026-09-17,0,CVM Informe Mensal — Percentual_Dividend_Yield_Mes,43.2,Oportunidade,,100.0,16.7,0.0,0.0,55.0,66.1
PLCR11,PLURAL RECEBÍVEIS FUNDO DE INVESTIMENTO IMOBILIÁRIO,BRPLCRCTF003,32527683000126,Outros,Outros,79.1,83.4045285844804,7.6968,8,0.9689666666666666,0.9483897498428955,520154.8053333333,175914246.15,,,14034.0,2109169.0,0.0011115432904352,,,,0.25348542458807355,82.0,68.04,2025-08-01,2025-07-21,423,CVM Informe Mensal — Percentual_Dividend_Yield_Mes,43.0,Oportunidade,"preco_defasado,dy_parcial_8_meses",85.2,30.0,24.4,0.0,55.0,50.0
DOVL11,DOVEL FII,BRDOVLCTF006,10522648000181,Escritórios,Papel,583.04,583.559588164609,11.4987,12,0.7599999999999999,0.9991096227786382,118487.18999999999,38751862.33,,,101.0,66406.0074,0.0009619602196806,-5.5108211361830195,-11.021642272366039,0.0,-10.34981163988622,650.35,583.04,2026-07-01,2026-05-04,136,CVM Informe Mensal — Percentual_Dividend_Yield_Mes,42.9,Oportunidade,preco_defasado,77.6,72.2,0.0,0.0,70.0,15.0
NVHO11,FUNDO DE INVESTIMENTO IMOBILIARIO - FII NOVO HORIZONTE,BRNVHOCTF003,17025970000144,Hospital,Tijolo,11.82,16.5944409464736,6.3737,12,0.5243333333333333,0.7122867253031389,4838.423666666667,688578577.47,,,1658.0,41494533.0,9.1486029425225e-05,-4.637185271126154,-0.12368561074546092,-9.150684931506847,-5.3642914331465175,14.75,10.16,2026-07-01,2026-09-17,0,CVM Informe Mensal — Percentual_Dividend_Yield_Mes,42.8,Oportunidade,,100.0,15.3,0.0,31.6,55.0,17.9
SPG211,SPGM II FUNDO DE INVESTIMENTO IMOBILIÁRIO,BRSPG2CTF013,57077139000150,Logística,Tijolo,11.99,13.7617178107922,2.6138,12,0.4356333333333333,0.871257510497506,99198.02066666666,89967847.58,,,308.0,6537544.863,0.000389,38.28874762796784,71.8155904940309,4.761904761904767,17.549019607843142,12.07,5.5,2026-08-01,2026-09-11,6,CVM Informe Mensal — Percentual_Dividend_Yield_Mes,42.5,Oportunidade,,96.8,0.0,0.0,0.0,55.0,100.0
TSER11,PRIME OFFICES FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESP LTDA,BRTSERCTF006,34847042000184,Escritórios,Papel,108.0,94.1834972844233,13.602,11,1.42225,1.1466977030365784,840.4142857142857,139909961.95,,,1.0,1485504.0,0.0002466687112125,-45.52742504578109,3.6819920137009854,-94.73684210526316,7.892107892107902,108.0,97.0,2026-07-01,2026-05-18,122,CVM Informe Mensal — Percentual_Dividend_Yield_Mes,42.3,Oportunidade,preco_defasado,50.7,95.6,0.0,0.0,70.0,0.0
RBFY11,RIO BRAVO FOR YOU FII,BRRBFYCTF009,62662477000190,Residencial,Tijolo,74.9,94.2068027121804,0.9047,10,0.056299999999999996,0.7950593571128156,559406.7646666666,91366184.99,,1.0,84.0,969847.0,0.000834,,,,4.027777777777786,96.02,60.04,2026-07-01,2026-09-15,2,CVM Informe Mensal — Percentual_Dividend_Yield_Mes,42.2,Oportunidade,,100.0,0.0,26.3,0.0,55.0,50.0
